White,Black,White_Elo,Black_Elo,White_Sex,White_Sex_Source,Black_Sex,Black_Sex_Source,Result,ECO,Opening,Date,PlyCount,RatingDiff,File,Pairing
Tomek_ol,Lola3745,2416,2253,M,inferred,F,inferred,0-1,B01,Scandinavian Defense: Icelandic-Palme Gambit,2016.03.31,98,163,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
alexander90,maddy2222,2319,2581,M,inferred,F,inferred,0-1,A45,Trompowsky Attack: Classical Defense,2016.04.03,48,-262,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
Miguoel,maddy2222,2416,2572,M,inferred,F,inferred,0-1,D00,Queen's Pawn Game: Mason Attack,2016.04.04,54,-156,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
Moustafa_hassan,Abigail64,2219,2513,M,inferred,F,inferred,0-1,B42,"Sicilian Defense: Kan Variation, Modern Variation",2016.04.04,46,-294,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
Moustafa_hassan,Abigail64,2211,2521,M,inferred,F,inferred,0-1,B30,Sicilian Defense: Old Sicilian,2016.04.04,78,-310,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
Miguoel,Lola3745,2549,2246,M,inferred,F,inferred,1-0,B01,Scandinavian Defense: Modern Variation #2,2016.04.05,55,303,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
Miguoel,lama17,2564,2321,M,inferred,F,inferred,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,2016.04.05,43,243,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
Miguoel,lama17,2605,2313,M,inferred,F,inferred,1/2-1/2,A40,Horwitz Defense,2016.04.05,171,292,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
gameoverbro,lama17,2449,2312,M,confirmed,F,inferred,1/2-1/2,A84,Dutch Defense: Rubinstein Variation,2016.04.08,137,137,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
gameoverbro,armine,2449,2316,M,confirmed,F,inferred,1-0,E70,King's Indian Defense: Accelerated Averbakh Variation,2016.04.08,57,133,lichess_elite_2016-04.pgn,Male vs Perceived Female (Inferred)
